"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Cart Page Tests","4","0","","0"
"0","","0","Inventory Page Tests","10","0","","0"
"0","","0","Checkout Flow Tests","6","0","","0"
"0","","0","Login Page Test","8","0","","0"
